Descriptor ID, Fitness, Model, R2_Train, R2Pred_Validation, R2Pred_Test
[34- 61- 128- 230- 238],2.03320868572,<class 'sklearn.svm.classes.SVR'>,-0.221522440369,-2.11482975297,-0.751433314313
[66- 80- 125- 171- 182- 268- 295],3.70172435713,<class 'sklearn.svm.classes.SVR'>,-0.221522440369,-2.11482976701,-0.751433314274
[59- 132- 134- 183- 200- 334- 391],3.70172329874,<class 'sklearn.svm.classes.SVR'>,-0.221522440302,-2.11482705424,-0.751433320493
[80- 129- 133- 185- 258- 315],2.5975607355,<class 'sklearn.svm.classes.SVR'>,-0.221522440605,-2.11483415797,-0.751433304283
[37- 105- 255- 331- 392],2.03351736504,<class 'sklearn.svm.classes.SVR'>,-0.221518540466,-2.11640053266,-0.751421158547
[8- 52- 131- 172- 198- 211- 246- 355],6.8301917634,<class 'sklearn.svm.classes.SVR'>,-0.221522440369,-2.11483047267,-0.751433312609
[38- 89- 202- 270],1.69056709894,<class 'sklearn.svm.classes.SVR'>,-0.221522440369,-2.11482989771,-0.751433313962
[69- 140- 199- 285- 312],2.03320823383,<class 'sklearn.svm.classes.SVR'>,-0.221522440385,-2.11482748649,-0.751433319701
[23- 194- 208- 284- 301],2.03320694399,<class 'sklearn.svm.classes.SVR'>,-0.221522440684,-2.11482101559,-0.751433336011
[1- 21- 99- 105- 194],2.03320830989,<class 'sklearn.svm.classes.SVR'>,-0.221522441504,-2.11482786144,-0.751433321108
[81- 217- 288- 381],1.69057006558,<class 'sklearn.svm.classes.SVR'>,-0.22152244027,-2.11484841445,-0.751433270295
[15- 95- 137- 214- 271],2.03320844385,<class 'sklearn.svm.classes.SVR'>,-0.221522440395,-2.11482853974,-0.751433317242
[51- 67- 274- 291- 300- 362],2.59755918273,<class 'sklearn.svm.classes.SVR'>,-0.221522440375,-2.11482827507,-0.75143331782
[39- 75- 77- 272- 289- 346- 354],3.70172225414,<class 'sklearn.svm.classes.SVR'>,-0.221522440291,-2.11482437649,-0.751433326697
[157- 177- 190- 201- 271- 327- 352],3.70172448572,<class 'sklearn.svm.classes.SVR'>,-0.221522440369,-2.11483009666,-0.751433313493
[18- 69- 70- 241- 269- 331- 379],3.70172048165,<class 'sklearn.svm.classes.SVR'>,-0.221522439908,-2.1148198348,-0.751433336424
[123- 292- 297- 313],1.6905676149,<class 'sklearn.svm.classes.SVR'>,-0.221522440364,-2.11483311808,-0.751433306174
[161- 316- 360- 380],1.69056428293,<class 'sklearn.svm.classes.SVR'>,-0.221522583881,-2.11481144802,-0.751433693012
[40- 52- 82- 101- 120- 389],2.59755970078,<class 'sklearn.svm.classes.SVR'>,-0.221522440368,-2.11483023825,-0.751433313166
