Descriptor ID, Fitness, Model, R2_Train, R2Pred_Validation, R2Pred_Test
Descriptor ID, Fitness, Model, R2_Train, R2Pred_Validation, R2Pred_Test
[138- 225- 292- 305- 316- 333],0.00734343949333,<class 'sklearn.svm.classes.SVR'>,0.969227675968,-2.39826725886,-0.0775415816076
[69- 71- 291- 297],0.016094768882,<class 'sklearn.svm.classes.SVR'>,0.949105309376,-4.56886265144,0.0186797901052
[221- 232- 251- 353],0.0410529420332,<class 'sklearn.svm.classes.SVR'>,0.701631531277,-1.19042758823,0.0524120310969
[65- 97- 167- 198- 288],0.0433688313665,<class 'sklearn.svm.classes.SVR'>,0.882234090539,-6.53037139184,0.103852782366
[22- 134- 202- 373],0.00782105888809,<class 'sklearn.svm.classes.SVR'>,0.940100792399,-2.12789826152,-0.0949332817071
[9- 45- 340- 373],0.0520600271137,<class 'sklearn.svm.classes.SVR'>,0.685758442945,-2.13840531508,-0.0485480553982
[60- 99- 117- 131- 141- 358],0.00722290558502,<class 'sklearn.svm.classes.SVR'>,0.967412776073,-2.30855312986,-0.0785386733987
[144- 205- 331- 342],0.213615201536,<class 'sklearn.svm.classes.SVR'>,0.204338532868,-0.44373535109,-0.312760265113
[60- 104- 134- 326],0.0059753396342,<class 'sklearn.svm.classes.SVR'>,0.96916007149,-2.3984415776,0.0260469946858
[15- 67- 149- 165- 321- 345],0.00734237359548,<class 'sklearn.svm.classes.SVR'>,0.969254388337,-2.39875090514,-0.0775589882524
[31- 44- 218- 248- 273- 325],0.00863552105574,<class 'sklearn.svm.classes.SVR'>,0.955312226303,-2.34747613395,0.140251377995
[8- 52- 65- 319- 363- 378],0.0070372456607,<class 'sklearn.svm.classes.SVR'>,0.962533278338,-2.107607833,0.00118517525323
[53- 136- 165- 241- 299- 363],0.410252335906,<class 'sklearn.svm.classes.SVR'>,0.0223127879248,-2.09428705899,-0.073961800142
[0- 115- 148- 155- 190- 263],0.00707775052459,<class 'sklearn.svm.classes.SVR'>,0.968691929378,-2.30348208403,-0.181005394498
[135- 162- 186- 310- 338],0.00626325826726,<class 'sklearn.svm.classes.SVR'>,0.968115535617,-2.25239439747,-0.658812730637
[26- 146- 288- 308- 381],0.00660044539757,<class 'sklearn.svm.classes.SVR'>,0.969227675968,-2.39826725886,-0.077583650426
[107- 146- 152- 227],0.0608481114817,<class 'sklearn.svm.classes.SVR'>,0.687287035153,-3.22728121881,-0.805489646154
[11- 23- 47- 95- 143- 254- 366],0.0091034575634,<class 'sklearn.svm.classes.SVR'>,0.965592704589,-2.51513539603,-0.226421868027
[15- 64- 79- 191- 340],0.0147444709669,<class 'sklearn.svm.classes.SVR'>,0.862373716776,-1.29741060342,-0.209916381178
[35- 225- 268- 327],0.00593831823877,<class 'sklearn.svm.classes.SVR'>,0.96893975482,-2.37813924709,-0.0769887926781
[41- 86- 118- 121- 290],0.129149598542,<class 'sklearn.svm.classes.SVR'>,0.439240031205,-1.14143377113,-0.0155370423345
[125- 323- 338- 342],0.372665460885,<class 'sklearn.svm.classes.SVR'>,-0.000321572666972,-2.46954808332,0.00343603249292
[19- 133- 153- 193- 379],0.0745520489791,<class 'sklearn.svm.classes.SVR'>,0.596300556951,-1.30547639786,-0.49517101455
[93- 266- 334- 353],0.00471857585683,<class 'sklearn.svm.classes.SVR'>,0.974620584443,-2.082544238,-0.161867151094
[3- 38- 90- 109- 134- 164- 187- 221],0.00953413199435,<class 'sklearn.svm.classes.SVR'>,0.973834300601,-2.5873670825,-0.239081931228
[7- 99- 102- 131- 253- 371],0.0159734119141,<class 'sklearn.svm.classes.SVR'>,0.910399877591,-2.69286581181,-0.0486513367546
[68- 76- 101- 338],0.0240447763249,<class 'sklearn.svm.classes.SVR'>,0.829646382747,-2.4671196265,-0.427303968503
[35- 104- 141- 340- 380],0.00628720982036,<class 'sklearn.svm.classes.SVR'>,0.970167273666,-2.32273972471,0.00657418018834
[36- 124- 147- 158- 169- 200- 221- 271],0.221634096666,<class 'sklearn.svm.classes.SVR'>,0.408112118705,-2.88962660766,-0.228263750871
[3- 98- 181- 191- 202- 268],0.00735433214161,<class 'sklearn.svm.classes.SVR'>,0.969357926105,-2.40535305753,-0.0767507926147
[54- 65- 73- 177- 321],0.00659904758591,<class 'sklearn.svm.classes.SVR'>,0.969247743019,-2.39841765105,-0.0775836504264
