Descriptor ID, Fitness, R2_Train, R2Pred_Validation, R2Pred_Test
[1- 205- 218- 256- 276- 334],0.091908586,0.850530212,0.67449618,0.73283767
[17- 30- 155- 202- 228- 276- 370],0.43720872,0.723299058,0.748930362,0.617220215
[32- 38- 101- 118- 222],0.061997568,0.828637141,0.744783167,0.600563936
[33- 259- 293- 353],0.063411038,0.799418141,0.649470331,0.815845493
[22- 88- 216- 375],0.13593319,0.681841845,0.635813872,0.755414815
[30- 116- 203- 352],0.011910112,0.922781044,0.788966283,0.617829276
[33- 117- 165- 239- 305],0.101548867,0.787828763,0.63195057,0.819779699
[33- 55- 117- 149],0.048960527,0.832723824,0.637348171,0.823022641
[5- 22- 82- 378],0.160524487,0.652588938,0.61440776,0.671322279
[1- 127- 173- 244- 279- 370],0.091844717,0.849930679,0.678197827,0.734442926
[17- 30- 67- 216- 243],0.091093348,0.780321354,0.75999341,0.680963107
[18- 79- 94- 108- 118- 263- 390],0.348255626,0.777022039,0.650808271,0.698934314
[38- 94- 112- 189- 218],0.083757135,0.806951128,0.667822785,0.610601383
[30- 59- 72- 117- 246],0.090868948,0.780703635,0.759642502,0.681226706
[1- 68- 83- 205- 216],0.058515257,0.854368039,0.631168992,0.744119324
[18- 53- 78- 117- 153- 173- 250- 290],1.094715245,0.785247398,0.659041941,0.61520078
[1- 87- 122- 124- 155- 244- 335- 355- 365],49.81979285,0.892767288,0.710724536,0.629159252
[33- 47- 168- 218- 226- 245- 379],0.24895789,0.815530548,0.68357925,0.792095457
[33- 53- 226- 278],0.064041177,0.785500967,0.72640973,0.742239421
[33- 162- 217- 309],0.049132895,0.832522416,0.636145476,0.822955834
[10- 22- 33- 155- 222- 276],0.246015433,0.719744352,0.664163125,0.774876536
[22- 34- 163- 232],0.12916674,0.688858688,0.651099105,0.754806199
[15- 18- 116- 167- 170],0.09789357,0.794606797,0.621678835,0.625189758
[33- 127- 136- 216- 225],0.069629693,0.835379476,0.631053344,0.814666952
[33- 147- 218- 335- 369],0.045347702,0.87590307,0.651498238,0.799544231
[32- 38- 41- 216- 241- 315],0.12717059,0.802021654,0.739166025,0.612980609
[22- 218- 226- 240- 305],0.188901776,0.689643514,0.619651602,0.676787819
[7- 33- 308- 335],0.035652233,0.854565733,0.706921504,0.81898282
